Dataset,Task,Duration (seconds),Subcondition
MDTB,Go/NoGo,1,NoGo
MDTB,Go/NoGo,1,Go
MDTB,Math,2.6,Math
MDTB,Math,2.6,DigitJudgement
MDTB,IAPSaffective,1.6,UnpleasantScenes
MDTB,IAPSaffective,1.6,PleasantScenes
MDTB,ObjectViewing,1.6,Objects
MDTB,IAPSemotion,1.6,SadFaces
MDTB,IAPSemotion,1.6,HappyFaces
MDTB,Interval,1.6,IntervalTiming
MDTB,MotorImagery,30,MotorImagery
MDTB,Stroop,1.6,StroopIncon
MDTB,Stroop,1.6,StroopCon
MDTB,Verbal2Back,1.6,Verbal2Back
MDTB,NatureMovie,30,NatureMovie
MDTB,LandscapeMovie,30,LandscapeMovie
MDTB,AnimatedMovie,30,AnimatedMovie
MDTB,SpatialMap,4.8,SpatialMapEasy
MDTB,SpatialMap,4.8,SpatialMapMed
MDTB,SpatialMap,4.8,SpatialMapHard
MDTB,MentalRotation,3,MentalRotEasy
MDTB,MentalRotation,3,MentalRotMed
MDTB,MentalRotation,3,MentalRotHard
MDTB,ResponseAlternativesMotor,4.6,RespAltEasy
MDTB,ResponseAlternativesMotor,4.6,RespAltMed
MDTB,ResponseAlternativesMotor,4.6,RespAltHard
MDTB,BiologicalMotion,3,BiologicalMotion
MDTB,BiologicalMotion,3,ScrambledMotion
MDTB,Rules,7.3,PermutedRules
MDTB,WordPrediction,4.8,Prediction
MDTB,WordPrediction,4.8,PredictViol
MDTB,WordPrediction,4.8,PredictScram
MDTB,TheoryOfMind,14.6,TheoryOfMind
MDTB,ActionObservation,14,VideoActions
MDTB,ActionObservation,14,VideoKnots
MDTB,Motor,4.6,FingerSimple
MDTB,Motor,4.6,FingerSeq
MDTB,ObjectNBackTask,1.6,Object2Back
MDTB,VisualSearch,1.6,VisualSearchEasy
MDTB,VisualSearch,1.6,VisualSearchMed
MDTB,VisualSearch,1.6,VisualSearchHard
MDTB,SpatialImagery,30,SpatialImagery
MDTB,Language,1.6,VerbGen
MDTB,Language,1.6,WordRead
N&N,Sarcasm,8,for instruction see: https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-020-14913-w/MediaObjects/41467_2020_14913_MOESM1_ESM.pdf
N&N,StateMap,6,
N&N,ForeignListen,10,
N&N,ForeignListenQ,6,
N&N,EyeMoveHard,8,
N&N,MusicCategory,10,
N&N,FeedbackPos,6,
N&N,PressLeft,8,
N&N,MoralPersonal,12,
N&N,AnimalVoice,6,
N&N,Flag,6,
N&N,CountDot,6,
N&N,PropLogic,12,
N&N,RateBeautySound,10,
N&N,DecidePresent,8,
N&N,TimeMov,8,
N&N,DecidePeople,8,
N&N,RateDisgustMov,10,
N&N,Clock,6,
N&N,AnimalPhoto,6,
N&N,RateHappyPic,6,
N&N,DailySound,6,
N&N,EyeBlink,8,
N&N,ImagineMove,8,
N&N,SoundLeft,8,
N&N,WorldPlace,6,
N&N,Recipe,8,
N&N,RelationLogic,12,
N&N,DomesiticPlace,6,
N&N,ComparePeople,6,
N&N,DailyPhoto,6,
N&N,SoundRight,8,
N&N,PressRight,8,
N&N,RateSexyPicF,6,
N&N,RateDisgustSound,6,
N&N,MemoryLetter,6,
N&N,RateSexyPicM,6,
N&N,MatchLetter,6,
N&N,TimeSound,8,
N&N,LetterFluency,10,
N&N,RateDeliciousPic,6,
N&N,RecallKnowledge,10,
N&N,DetectTargetPic,8,
N&N,MapIcon,6,
N&N,ImaginePlace,8,
N&N,MoralImpersonal,12,
N&N,CountryMap,6,
N&N,ImagineIf,8,
N&N,DecideShopping,8,
N&N,PressOrdHard,8,
N&N,RateBeautyPic,6,
N&N,PressLR,8,
N&N,LanguageSound,6,
N&N,RateBeautyMov,10,
N&N,ImagineFuture,8,
N&N,RatePainfulPic,6,
N&N,DetectTargetMov,6,
N&N,WordMeaning,6,
N&N,EyeMoveEasy,8,
N&N,RatePoem,12,
N&N,RecallFace,8,
N&N,RecallTaskHard,6,
N&N,CountTone,6,
N&N,SoundPlace,6,
N&N,DetectColor,6,
N&N,Money,8,
N&N,Rhythm,6,
N&N,PressOrdEasy,8,
N&N,RateDisgustPic,6,
N&N,Metaphor,8,
N&N,MirrorImage,6,
N&N,EmotionVoice,6,
N&N,RateConfidence,6,
N&N,CategoryFluency,10,
N&N,RateSleepy,6,
N&N,RateSexyMovF,6,
N&N,EmotionFace,6,
N&N,RatePainfulMov,10,
N&N,RateDeliciousMov,10,
N&N,RateSexyMovM,6,
N&N,ForeignRead,12,
N&N,ForeignReadQ,6,
N&N,CalcHard,10,
N&N,CalcEasy,8,
N&N,TrafficSign,6,
N&N,RateTired,6,
N&N,MemoryNameHard,6,
N&N,MatchNameHard,8,
N&N,DomesiticName,6,
N&N,MemoryNameEasy,6,
N&N,MatchNameEasy,8,
N&N,WorldName,6,
N&N,DetectDifference,8,
N&N,RateNoisy,8,
N&N,DecideFood,8,
N&N,RecallTaskEasy,6,
N&N,MemoryDigit,6,
N&N,RecallPast,8,
N&N,MatchDigit,6,
N&N,TimeValue,8,
N&N,RateHappyMov,10,
N&N,Harmony,6,