,Dataset,Region,Predicted vs. Observed RDM
0,MDTB,7Networks_LH_Cont_Cing_1,0.12796729840208101
1,MDTB,7Networks_LH_Cont_PFCl_1,0.24113181504485853
2,MDTB,7Networks_LH_Cont_Par_1,0.27814407814407816
3,MDTB,7Networks_LH_Cont_pCun_1,0.17036895471678082
4,MDTB,7Networks_LH_Default_PFC_1,0.24582895365504065
5,MDTB,7Networks_LH_Default_PFC_2,0.2032871476349737
6,MDTB,7Networks_LH_Default_PFC_3,0.13730424165206775
7,MDTB,7Networks_LH_Default_PFC_4,0.18690237298932952
8,MDTB,7Networks_LH_Default_PFC_5,0.11661304878696183
9,MDTB,7Networks_LH_Default_PFC_6,0.1309295535382492
10,MDTB,7Networks_LH_Default_PFC_7,0.14643096034400382
11,MDTB,7Networks_LH_Default_Par_1,0.14094813399161227
12,MDTB,7Networks_LH_Default_Par_2,0.2057121622339014
13,MDTB,7Networks_LH_Default_Temp_1,0.12249296597122686
14,MDTB,7Networks_LH_Default_Temp_2,0.08940277114190158
15,MDTB,7Networks_LH_Default_pCunPCC_1,0.24342942082072516
16,MDTB,7Networks_LH_Default_pCunPCC_2,0.14222009874183789
17,MDTB,7Networks_LH_DorsAttn_FEF_1,0.21467749641662687
18,MDTB,7Networks_LH_DorsAttn_Post_1,0.32663587620109363
19,MDTB,7Networks_LH_DorsAttn_Post_2,0.1450273398099485
20,MDTB,7Networks_LH_DorsAttn_Post_3,0.2654414184848968
21,MDTB,7Networks_LH_DorsAttn_Post_4,0.10402505706853533
22,MDTB,7Networks_LH_DorsAttn_Post_5,0.1642002442002442
23,MDTB,7Networks_LH_DorsAttn_Post_6,0.13435048043743697
24,MDTB,7Networks_LH_DorsAttn_PrCv_1,0.27722885809842335
25,MDTB,7Networks_LH_Limbic_OFC_1,0.19024897807506505
26,MDTB,7Networks_LH_Limbic_TempPole_1,0.16678664330838244
27,MDTB,7Networks_LH_Limbic_TempPole_2,0.13880129532303448
28,MDTB,7Networks_LH_SalVentAttn_FrOperIns_1,0.22992196209587515
29,MDTB,7Networks_LH_SalVentAttn_FrOperIns_2,0.32922015182884745
30,MDTB,7Networks_LH_SalVentAttn_Med_1,0.32174762435632004
31,MDTB,7Networks_LH_SalVentAttn_Med_2,0.19273769708552319
32,MDTB,7Networks_LH_SalVentAttn_Med_3,0.2670234113712375
33,MDTB,7Networks_LH_SalVentAttn_PFCl_1,0.25069384721558635
34,MDTB,7Networks_LH_SalVentAttn_ParOper_1,0.20747040399214314
35,MDTB,7Networks_LH_SomMot_1,0.19682752030578118
36,MDTB,7Networks_LH_SomMot_2,0.1563985772681425
37,MDTB,7Networks_LH_SomMot_3,0.21968041620215534
38,MDTB,7Networks_LH_SomMot_4,0.1559059298189733
39,MDTB,7Networks_LH_SomMot_5,0.14937835111748154
40,MDTB,7Networks_LH_SomMot_6,0.21216966608270957
41,MDTB,7Networks_LH_Vis_1,0.31472102776450606
42,MDTB,7Networks_LH_Vis_2,0.4049052396878484
43,MDTB,7Networks_LH_Vis_3,0.3312565695174391
44,MDTB,7Networks_LH_Vis_4,0.2930509104422148
45,MDTB,7Networks_LH_Vis_5,0.385430801082975
46,MDTB,7Networks_LH_Vis_6,0.23617348834740137
47,MDTB,7Networks_LH_Vis_7,0.2564739608217869
48,MDTB,7Networks_LH_Vis_8,0.4549705367096672
49,MDTB,7Networks_LH_Vis_9,0.2814312257790519
50,MDTB,7Networks_RH_Cont_Cing_1,0.13846578542230717
51,MDTB,7Networks_RH_Cont_PFCl_1,0.19755162711684454
52,MDTB,7Networks_RH_Cont_PFCl_2,0.22104369060890802
53,MDTB,7Networks_RH_Cont_PFCl_3,0.26243457026065725
54,MDTB,7Networks_RH_Cont_PFCl_4,0.1616456972978712
55,MDTB,7Networks_RH_Cont_PFCmp_1,0.2606869459043372
56,MDTB,7Networks_RH_Cont_Par_1,0.19557041991824603
57,MDTB,7Networks_RH_Cont_Par_2,0.21607899347029783
58,MDTB,7Networks_RH_Cont_pCun_1,0.14923820141211447
59,MDTB,7Networks_RH_Default_PFCdPFCm_1,0.14485958485958486
60,MDTB,7Networks_RH_Default_PFCdPFCm_2,0.10585125019907629
61,MDTB,7Networks_RH_Default_PFCdPFCm_3,0.14152996761692413
62,MDTB,7Networks_RH_Default_PFCv_1,0.23736688432340608
63,MDTB,7Networks_RH_Default_PFCv_2,0.24567606306736745
64,MDTB,7Networks_RH_Default_Par_1,0.151098370228805
65,MDTB,7Networks_RH_Default_Temp_1,0.1972776981472634
66,MDTB,7Networks_RH_Default_Temp_2,0.20366512714338803
67,MDTB,7Networks_RH_Default_Temp_3,0.1836109783935871
68,MDTB,7Networks_RH_Default_pCunPCC_1,0.241104209799862
69,MDTB,7Networks_RH_Default_pCunPCC_2,0.11587195413282372
70,MDTB,7Networks_RH_DorsAttn_FEF_1,0.1647565960609439
71,MDTB,7Networks_RH_DorsAttn_Post_1,0.24280299410734194
72,MDTB,7Networks_RH_DorsAttn_Post_2,0.11003663003663004
73,MDTB,7Networks_RH_DorsAttn_Post_3,0.22467484206614644
74,MDTB,7Networks_RH_DorsAttn_Post_4,0.2796475022561979
75,MDTB,7Networks_RH_DorsAttn_Post_5,0.149004618569836
76,MDTB,7Networks_RH_DorsAttn_PrCv_1,0.2639762170196953
77,MDTB,7Networks_RH_Limbic_OFC_1,0.18572171789563094
78,MDTB,7Networks_RH_Limbic_TempPole_1,0.15714816584381802
79,MDTB,7Networks_RH_SalVentAttn_FrOperIns_1,0.35164410468758295
80,MDTB,7Networks_RH_SalVentAttn_Med_1,0.18348356957052608
81,MDTB,7Networks_RH_SalVentAttn_Med_2,0.27234060625364975
82,MDTB,7Networks_RH_SalVentAttn_TempOccPar_1,0.16241652067739026
83,MDTB,7Networks_RH_SalVentAttn_TempOccPar_2,0.12978499761108458
84,MDTB,7Networks_RH_SomMot_1,0.20364389233954452
85,MDTB,7Networks_RH_SomMot_2,0.13473270690661995
86,MDTB,7Networks_RH_SomMot_3,0.20155226416095984
87,MDTB,7Networks_RH_SomMot_4,0.13440569092743007
88,MDTB,7Networks_RH_SomMot_5,0.1465052821574561
89,MDTB,7Networks_RH_SomMot_6,0.04567393958698307
90,MDTB,7Networks_RH_SomMot_7,0.10652227000053087
91,MDTB,7Networks_RH_SomMot_8,0.1506630567500133
92,MDTB,7Networks_RH_Vis_1,0.3302691511387164
93,MDTB,7Networks_RH_Vis_2,0.4032913945957424
94,MDTB,7Networks_RH_Vis_3,0.32839624143971974
95,MDTB,7Networks_RH_Vis_4,0.3681499177151351
96,MDTB,7Networks_RH_Vis_5,0.34864999734564955
97,MDTB,7Networks_RH_Vis_6,0.190157668418538
98,MDTB,7Networks_RH_Vis_7,0.39871741784785264
99,MDTB,7Networks_RH_Vis_8,0.39882996230822315
100,MDTB,Caudate,0.2516048203004725
101,MDTB,Hippocampus,0.1817401921749748
102,MDTB,Null Model,0.1700798980729416
103,MDTB,Pallidus,0.1738450921059617
104,MDTB,Putamen,0.19743908265647397
105,MDTB,Thalamus,0.3414896214896215
106,MDTB,Uniformed Evoked Model,0.012139035071065693
107,N&N,7Networks_LH_Cont_Cing_1,0.11860208750743721
108,N&N,7Networks_LH_Cont_PFCl_1,0.1488929224161708
109,N&N,7Networks_LH_Cont_Par_1,0.19581754634629656
110,N&N,7Networks_LH_Cont_pCun_1,0.161946773775036
111,N&N,7Networks_LH_Default_PFC_1,0.1451284226081089
112,N&N,7Networks_LH_Default_PFC_2,0.15509384861958497
113,N&N,7Networks_LH_Default_PFC_3,0.11348810266520655
114,N&N,7Networks_LH_Default_PFC_4,0.1074012209901744
115,N&N,7Networks_LH_Default_PFC_5,0.10249690417356982
116,N&N,7Networks_LH_Default_PFC_6,0.11126059036514731
117,N&N,7Networks_LH_Default_PFC_7,0.13357680256889196
118,N&N,7Networks_LH_Default_Par_1,0.17300054848431734
119,N&N,7Networks_LH_Default_Par_2,0.11496638413127436
120,N&N,7Networks_LH_Default_Temp_1,0.11558330019181244
121,N&N,7Networks_LH_Default_Temp_2,0.11088799799454531
122,N&N,7Networks_LH_Default_pCunPCC_1,0.13526633531428528
123,N&N,7Networks_LH_Default_pCunPCC_2,0.12737203132077915
124,N&N,7Networks_LH_DorsAttn_FEF_1,0.1465531750205289
125,N&N,7Networks_LH_DorsAttn_Post_1,0.31864350341373376
126,N&N,7Networks_LH_DorsAttn_Post_2,0.1336095231453471
127,N&N,7Networks_LH_DorsAttn_Post_3,0.2159649522919168
128,N&N,7Networks_LH_DorsAttn_Post_4,0.0857749304342199
129,N&N,7Networks_LH_DorsAttn_Post_5,0.16911069519287736
130,N&N,7Networks_LH_DorsAttn_Post_6,0.12901303608373402
131,N&N,7Networks_LH_DorsAttn_PrCv_1,0.16238603871809223
132,N&N,7Networks_LH_Limbic_OFC_1,0.10442854907992227
133,N&N,7Networks_LH_Limbic_TempPole_1,0.1371808660020771
134,N&N,7Networks_LH_Limbic_TempPole_2,0.14471024258336743
135,N&N,7Networks_LH_SalVentAttn_FrOperIns_1,0.1478306597078897
136,N&N,7Networks_LH_SalVentAttn_FrOperIns_2,0.16033484559192643
137,N&N,7Networks_LH_SalVentAttn_Med_1,0.15300712024372054
138,N&N,7Networks_LH_SalVentAttn_Med_2,0.12924180367779783
139,N&N,7Networks_LH_SalVentAttn_Med_3,0.1586610951215053
140,N&N,7Networks_LH_SalVentAttn_PFCl_1,0.16889647845424174
141,N&N,7Networks_LH_SalVentAttn_ParOper_1,0.18209101321325735
142,N&N,7Networks_LH_SomMot_1,0.17411407845524698
143,N&N,7Networks_LH_SomMot_2,0.14305549115733962
144,N&N,7Networks_LH_SomMot_3,0.15829920856163288
145,N&N,7Networks_LH_SomMot_4,0.1027015962589977
146,N&N,7Networks_LH_SomMot_5,0.11365761133509124
147,N&N,7Networks_LH_SomMot_6,0.12348871209222578
148,N&N,7Networks_LH_Vis_1,0.2297486082131914
149,N&N,7Networks_LH_Vis_2,0.317301406896829
150,N&N,7Networks_LH_Vis_3,0.2297911298839764
151,N&N,7Networks_LH_Vis_4,0.2982122678287246
152,N&N,7Networks_LH_Vis_5,0.23962404007391033
153,N&N,7Networks_LH_Vis_6,0.08536300803124287
154,N&N,7Networks_LH_Vis_7,0.26698535301845433
155,N&N,7Networks_LH_Vis_8,0.30053093030605177
156,N&N,7Networks_LH_Vis_9,0.17493772221311224
157,N&N,7Networks_RH_Cont_Cing_1,0.11100116293753876
158,N&N,7Networks_RH_Cont_PFCl_1,0.13404853677829234
159,N&N,7Networks_RH_Cont_PFCl_2,0.17088419064636332
160,N&N,7Networks_RH_Cont_PFCl_3,0.1577050109351312
161,N&N,7Networks_RH_Cont_PFCl_4,0.17930064165754098
162,N&N,7Networks_RH_Cont_PFCmp_1,0.16411520306799385
163,N&N,7Networks_RH_Cont_Par_1,0.138216540100612
164,N&N,7Networks_RH_Cont_Par_2,0.14308911645019443
165,N&N,7Networks_RH_Cont_pCun_1,0.17988674709846772
166,N&N,7Networks_RH_Default_PFCdPFCm_1,0.11652709531375753
167,N&N,7Networks_RH_Default_PFCdPFCm_2,0.1053058475464908
168,N&N,7Networks_RH_Default_PFCdPFCm_3,0.13685386128561458
169,N&N,7Networks_RH_Default_PFCv_1,0.1535923209682476
170,N&N,7Networks_RH_Default_PFCv_2,0.18397531129469313
171,N&N,7Networks_RH_Default_Par_1,0.1344708634198657
172,N&N,7Networks_RH_Default_Temp_1,0.16194619576178063
173,N&N,7Networks_RH_Default_Temp_2,0.1655889609520632
174,N&N,7Networks_RH_Default_Temp_3,0.16962007565690893
175,N&N,7Networks_RH_Default_pCunPCC_1,0.12335313028732914
176,N&N,7Networks_RH_Default_pCunPCC_2,0.11602161015644681
177,N&N,7Networks_RH_DorsAttn_FEF_1,0.1618266475419672
178,N&N,7Networks_RH_DorsAttn_Post_1,0.2474718768278884
179,N&N,7Networks_RH_DorsAttn_Post_2,0.08804013925093251
180,N&N,7Networks_RH_DorsAttn_Post_3,0.18103945631570584
181,N&N,7Networks_RH_DorsAttn_Post_4,0.23077322466684133
182,N&N,7Networks_RH_DorsAttn_Post_5,0.15735855481607555
183,N&N,7Networks_RH_DorsAttn_PrCv_1,0.20901346331092277
184,N&N,7Networks_RH_Limbic_OFC_1,0.11025024832580345
185,N&N,7Networks_RH_Limbic_TempPole_1,0.13786370070473639
186,N&N,7Networks_RH_SalVentAttn_FrOperIns_1,0.19579749179943695
187,N&N,7Networks_RH_SalVentAttn_Med_1,0.11152087224713332
188,N&N,7Networks_RH_SalVentAttn_Med_2,0.14038537148974747
189,N&N,7Networks_RH_SalVentAttn_TempOccPar_1,0.18287082848776026
190,N&N,7Networks_RH_SalVentAttn_TempOccPar_2,0.13573573233965316
191,N&N,7Networks_RH_SomMot_1,0.17788586625652858
192,N&N,7Networks_RH_SomMot_2,0.1505731315564452
193,N&N,7Networks_RH_SomMot_3,0.160792129469943
194,N&N,7Networks_RH_SomMot_4,0.09567071841393164
195,N&N,7Networks_RH_SomMot_5,0.07868205438476457
196,N&N,7Networks_RH_SomMot_6,0.08446067907761651
197,N&N,7Networks_RH_SomMot_7,0.091297746565062
198,N&N,7Networks_RH_SomMot_8,0.11187841114208508
199,N&N,7Networks_RH_Vis_1,0.28452453697682734
200,N&N,7Networks_RH_Vis_2,0.3276986590720751
201,N&N,7Networks_RH_Vis_3,0.30559211489395655
202,N&N,7Networks_RH_Vis_4,0.3060499767852285
203,N&N,7Networks_RH_Vis_5,0.2024556516188455
204,N&N,7Networks_RH_Vis_6,0.117543242616666
205,N&N,7Networks_RH_Vis_7,0.3029610990796396
206,N&N,7Networks_RH_Vis_8,0.23670127835170726
207,N&N,Caudate,0.0974599458803676
208,N&N,Hippocampus,0.0928990042144303
209,N&N,Null Model,0.12409225659516256
210,N&N,Pallidus,0.1421650994339868
211,N&N,Putamen,0.07499176645248762
212,N&N,Thalamus,0.22655022840947714
213,N&N,Uniformed Evoked Model,-0.004714919238459542
